timestamp,load (1m),load (5m),load (15m),cpu usr,cpu sys,cpu wait
2016-10-20 13:38:35,8.51,7.63,7.51,9.3%,68.0%,0.4%
2016-10-20 13:39:42,8.03,7.75,7.57,7.0%,41.0%,0.4%
2016-10-20 13:40:48,5.86,7.20,7.39,7.1%,41.3%,0.3%
2016-10-20 13:41:55,4.72,6.55,7.15,10.9%,47.5%,0.3%
2016-10-20 13:43:02,4.98,6.23,6.99,9.8%,43.1%,0.3%
2016-10-20 13:44:08,4.04,5.65,6.73,8.0%,40.2%,0.3%
2016-10-20 13:45:15,5.32,5.76,6.70,9.8%,45.8%,0.3%
2016-10-20 13:46:20,5.48,5.77,6.64,7.2%,37.7%,0.1%
2016-10-20 13:47:27,5.00,5.56,6.50,8.1%,41.9%,0.3%
2016-10-20 13:48:33,5.74,5.60,6.45,7.9%,38.8%,0.2%
2016-10-20 13:49:38,4.44,5.17,6.24,12.0%,46.9%,0.3%
2016-10-20 13:50:45,3.62,4.76,6.02,7.9%,37.7%,0.2%
2016-10-20 13:51:52,4.40,4.76,5.93,8.2%,38.0%,0.3%
2016-10-20 13:52:58,3.78,4.53,5.77,8.8%,42.4%,0.3%
2016-10-20 13:54:03,4.29,4.60,5.71,8.4%,40.7%,0.2%
2016-10-20 13:55:09,5.33,4.86,5.73,9.0%,40.9%,0.3%
2016-10-20 13:56:16,4.83,4.81,5.65,9.2%,44.3%,0.2%
2016-10-20 13:57:22,5.47,5.02,5.66,9.9%,43.0%,0.3%
2016-10-20 13:58:29,4.40,4.77,5.53,7.6%,36.4%,0.2%
2016-10-20 13:59:34,4.69,4.87,5.52,7.4%,38.4%,0.2%
2016-10-20 14:00:39,5.72,5.19,5.59,8.9%,40.3%,0.2%
2016-10-20 14:01:46,4.71,5.06,5.52,11.3%,45.2%,0.3%
2016-10-20 14:02:51,3.94,4.75,5.38,11.1%,43.6%,0.3%
2016-10-20 14:03:58,4.54,4.73,5.33,8.8%,38.3%,0.2%
2016-10-20 14:05:04,5.00,4.81,5.31,9.5%,43.8%,0.2%
2016-10-20 14:06:08,5.19,4.89,5.30,7.2%,37.5%,0.2%
2016-10-20 14:07:15,4.39,4.70,5.21,10.6%,45.2%,0.3%
2016-10-20 14:08:22,4.67,4.77,5.20,10.2%,44.0%,0.2%
2016-10-20 14:09:28,3.95,4.53,5.08,10.1%,40.7%,0.3%
2016-10-20 14:10:34,5.36,4.86,5.16,7.1%,37.9%,0.2%
2016-10-20 14:11:41,5.10,4.89,5.15,6.9%,36.6%,0.3%
2016-10-20 14:12:49,5.92,5.12,5.21,10.9%,44.6%,0.2%
2016-10-20 14:13:54,5.14,5.05,5.17,10.6%,42.1%,0.4%
2016-10-20 14:15:01,3.80,4.69,5.04,11.2%,45.2%,0.3%
2016-10-20 14:16:06,3.62,4.44,4.93,7.1%,36.8%,0.2%
2016-10-20 14:17:12,4.80,4.62,4.96,7.2%,37.8%,0.2%
2016-10-20 14:18:19,4.57,4.66,4.95,8.4%,40.0%,0.2%
2016-10-20 14:19:26,4.82,4.71,4.95,10.4%,43.9%,0.3%
2016-10-20 14:20:33,4.98,4.74,4.94,11.2%,44.9%,0.3%
2016-10-20 14:21:40,4.51,4.63,4.88,8.8%,39.0%,0.3%
2016-10-20 14:22:47,4.76,4.64,4.87,7.7%,40.8%,0.3%
2016-10-20 14:23:54,3.83,4.38,4.76,6.8%,35.7%,0.2%
2016-10-20 14:25:01,4.83,4.50,4.77,10.8%,42.8%,0.3%
2016-10-20 14:26:06,4.40,4.40,4.72,10.6%,41.9%,0.3%
2016-10-20 14:27:13,4.08,4.34,4.68,9.6%,41.8%,0.4%
2016-10-20 14:28:19,3.90,4.18,4.59,7.4%,40.5%,0.1%
2016-10-20 14:29:26,4.43,4.35,4.63,8.7%,38.4%,0.3%
2016-10-20 14:30:33,5.47,4.70,4.74,14.8%,41.0%,1.9%
2016-10-20 14:31:38,4.01,4.42,4.63,10.1%,40.8%,0.3%
2016-10-20 14:32:45,3.88,4.28,4.57,10.0%,41.8%,0.3%
2016-10-20 14:33:50,4.20,4.26,4.54,8.9%,40.9%,0.2%
2016-10-20 14:34:56,4.11,4.27,4.53,7.3%,37.1%,0.2%
2016-10-20 14:36:01,4.35,4.26,4.50,8.3%,37.8%,0.2%
2016-10-20 14:37:06,5.08,4.44,4.54,9.6%,42.7%,0.3%
2016-10-20 14:38:13,4.69,4.42,4.53,9.1%,39.7%,0.3%
2016-10-20 14:39:18,4.16,4.34,4.50,10.4%,44.8%,0.3%
2016-10-20 14:40:26,4.42,4.42,4.52,7.4%,37.5%,0.2%
2016-10-20 14:41:33,3.94,4.33,4.48,7.9%,40.6%,0.2%
2016-10-20 14:42:40,3.55,4.16,4.41,8.4%,39.6%,0.2%
2016-10-20 14:43:47,4.20,4.24,4.42,9.9%,43.5%,0.3%
