timestamp,load (1m),load (5m),load (15m),cpu usr,cpu sys,cpu wait
2016-10-19 16:06:29,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:07:33,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:08:40,0.00,0.00,0.00,0.0%,0.0%,0.0%
2016-10-19 16:09:47,0.00,0.00,0.00,0.8%,0.7%,0.1%
2016-10-19 16:10:54,0.00,0.00,0.00,0.1%,0.1%,0.1%
2016-10-19 16:11:59,0.00,0.00,0.00,0.1%,0.0%,0.1%
2016-10-19 16:13:06,0.00,0.00,0.00,0.1%,0.0%,0.1%
2016-10-19 16:14:12,0.00,0.00,0.00,0.0%,0.0%,0.0%
2016-10-19 16:15:18,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:16:25,0.00,0.00,0.00,0.0%,0.1%,0.0%
2016-10-19 16:17:31,0.00,0.00,0.00,0.1%,0.1%,0.1%
2016-10-19 16:18:37,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:19:43,0.00,0.00,0.00,0.0%,0.0%,0.1%
2016-10-19 16:20:49,0.00,0.00,0.00,0.1%,0.0%,0.1%
2016-10-19 16:21:55,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:23:02,0.00,0.00,0.00,0.0%,0.0%,0.0%
2016-10-19 16:24:09,0.00,0.00,0.00,0.1%,0.1%,0.0%
2016-10-19 16:25:16,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:26:21,0.00,0.00,0.00,0.0%,0.0%,0.0%
2016-10-19 16:27:28,0.00,0.00,0.00,0.1%,0.1%,0.0%
2016-10-19 16:28:34,0.00,0.00,0.00,0.0%,0.0%,0.0%
2016-10-19 16:29:40,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:30:47,0.00,0.00,0.00,0.0%,0.1%,0.2%
2016-10-19 16:31:54,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:33:01,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:34:06,0.00,0.00,0.00,0.0%,0.1%,0.0%
2016-10-19 16:35:12,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:36:19,0.00,0.00,0.00,0.0%,0.0%,0.1%
2016-10-19 16:37:25,0.00,0.00,0.00,0.1%,0.1%,0.0%
2016-10-19 16:38:32,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:39:37,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:40:45,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:41:52,0.00,0.00,0.00,0.1%,0.1%,0.1%
2016-10-19 16:42:59,0.06,0.01,0.00,0.1%,0.0%,0.0%
2016-10-19 16:44:04,0.02,0.01,0.00,0.1%,0.0%,0.0%
2016-10-19 16:45:11,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:46:19,0.00,0.00,0.00,0.0%,0.0%,0.0%
2016-10-19 16:47:24,0.00,0.00,0.00,0.1%,0.1%,0.1%
2016-10-19 16:48:31,0.06,0.03,0.01,0.1%,0.1%,0.1%
2016-10-19 16:49:38,0.02,0.02,0.00,0.0%,0.1%,0.1%
2016-10-19 16:50:44,0.00,0.01,0.00,0.1%,0.0%,0.0%
2016-10-19 16:51:51,0.00,0.01,0.00,0.1%,0.0%,0.0%
2016-10-19 16:52:55,0.00,0.00,0.00,0.0%,0.0%,0.0%
2016-10-19 16:54:02,0.00,0.00,0.00,0.1%,0.0%,0.0%
2016-10-19 16:55:09,0.00,0.00,0.00,0.0%,0.0%,0.0%
2016-10-19 16:56:16,0.00,0.00,0.00,0.1%,0.0%,0.1%
2016-10-19 16:57:23,0.19,0.05,0.01,0.1%,0.0%,0.0%
2016-10-19 16:58:28,0.06,0.03,0.01,0.1%,0.1%,0.1%
2016-10-19 16:59:35,0.02,0.03,0.00,0.0%,0.1%,0.0%
2016-10-19 17:00:41,0.00,0.02,0.00,0.0%,0.1%,0.1%
2016-10-19 17:01:48,0.00,0.01,0.00,0.1%,0.0%,0.1%
2016-10-19 17:02:55,0.00,0.01,0.00,0.1%,0.1%,0.1%
2016-10-19 17:04:01,0.00,0.00,0.00,0.0%,0.0%,0.1%
2016-10-19 17:05:07,0.00,0.00,0.00,0.1%,0.0%,0.1%
2016-10-19 17:06:13,0.00,0.00,0.00,0.1%,0.0%,0.1%
2016-10-19 17:07:20,0.00,0.00,0.00,0.0%,0.0%,0.1%
2016-10-19 17:08:27,0.00,0.00,0.00,0.0%,0.0%,0.1%
2016-10-19 17:09:34,0.00,0.00,0.00,0.1%,0.0%,0.1%
2016-10-19 17:10:40,0.00,0.00,0.00,0.1%,0.0%,0.1%
2016-10-19 17:11:47,0.00,0.00,0.00,0.1%,0.1%,0.2%
