timestamp,load (1m),load (5m),load (15m),cpu usr,cpu sys,cpu wait
2016-10-20 14:50:04,0.04,1.76,3.33,0.5%,1.7%,0.1%
2016-10-20 14:51:10,0.01,1.39,3.08,0.1%,0.2%,0.1%
2016-10-20 14:52:16,0.00,1.12,2.87,0.1%,0.2%,0.0%
2016-10-20 14:53:22,0.00,0.90,2.67,0.1%,0.1%,0.1%
2016-10-20 14:54:29,0.00,0.72,2.49,0.1%,0.2%,0.1%
2016-10-20 14:55:34,0.00,0.56,2.30,0.1%,0.2%,0.1%
2016-10-20 14:56:42,0.00,0.45,2.15,0.1%,0.3%,0.1%
2016-10-20 14:57:49,0.00,0.36,2.00,0.1%,0.2%,0.1%
2016-10-20 14:58:54,0.70,2.51,2.20,3.9%,3.5%,0.2%
2016-10-20 14:59:57,1.21,2.30,2.15,16.1%,11.0%,3.6%
2016-10-20 15:01:00,1.52,2.19,2.12,4.6%,7.3%,13.9%
2016-10-20 15:02:03,0.82,1.87,2.01,4.1%,4.0%,0.4%
2016-10-20 15:03:05,1.02,1.71,1.95,4.0%,4.1%,0.2%
2016-10-20 15:04:08,0.57,1.47,1.85,4.0%,4.1%,0.3%
2016-10-20 15:05:10,0.36,1.24,1.74,4.0%,3.5%,0.3%
2016-10-20 15:06:13,0.46,1.13,1.67,4.2%,3.4%,0.2%
2016-10-20 15:07:15,1.94,1.35,1.71,38.1%,13.7%,6.1%
2016-10-20 15:08:18,2.63,1.58,1.76,27.1%,12.8%,2.2%
2016-10-20 15:09:22,1.52,1.45,1.70,4.4%,6.1%,0.6%
2016-10-20 15:10:24,1.43,1.42,1.67,4.2%,4.4%,0.2%
2016-10-20 15:11:27,1.43,1.43,1.66,3.7%,3.7%,0.2%
2016-10-20 15:12:29,0.96,1.30,1.60,3.8%,4.1%,0.2%
2016-10-20 15:13:32,0.76,1.18,1.54,4.0%,3.7%,0.2%
2016-10-20 15:14:35,0.47,1.02,1.45,8.5%,6.6%,0.9%
2016-10-20 15:15:37,2.23,1.48,1.59,22.2%,17.5%,3.0%
2016-10-20 15:16:40,1.77,1.56,1.61,5.0%,7.3%,0.8%
2016-10-20 15:17:43,1.76,1.55,1.60,5.0%,6.5%,0.4%
2016-10-20 15:18:45,2.97,2.03,1.77,47.0%,12.9%,1.7%
2016-10-20 15:19:48,4.34,2.59,1.98,6.1%,6.8%,0.4%
2016-10-20 15:20:52,2.70,2.45,1.97,4.5%,6.0%,0.4%
2016-10-20 15:21:55,1.02,2.01,1.85,5.3%,5.6%,0.2%
2016-10-20 15:22:57,0.79,1.75,1.77,4.8%,5.5%,0.2%
2016-10-20 15:24:00,0.46,1.48,1.67,4.9%,5.5%,0.4%
2016-10-20 15:25:02,0.82,1.38,1.63,4.7%,5.5%,0.3%
2016-10-20 15:26:05,0.96,1.25,1.56,5.6%,6.6%,0.2%
2016-10-20 15:27:07,0.71,1.12,1.50,5.1%,6.4%,0.2%
2016-10-20 15:28:10,0.65,1.01,1.43,5.1%,6.0%,0.3%
2016-10-20 15:29:12,0.92,0.99,1.40,4.9%,6.0%,0.2%
2016-10-20 15:30:15,0.84,0.96,1.35,4.3%,5.2%,0.2%
2016-10-20 15:31:18,0.71,0.91,1.31,4.6%,5.1%,0.3%
2016-10-20 15:32:20,1.51,1.06,1.33,4.2%,5.7%,0.3%
2016-10-20 15:33:23,1.44,1.10,1.33,4.3%,5.7%,0.3%
2016-10-20 15:34:25,1.13,1.07,1.30,4.4%,4.5%,0.2%
2016-10-20 15:35:28,0.74,0.99,1.26,4.6%,5.0%,0.2%
2016-10-20 15:36:30,0.77,0.94,1.22,4.4%,5.0%,0.2%
2016-10-20 15:37:33,0.64,0.86,1.17,4.5%,5.4%,0.3%
2016-10-20 15:38:35,0.40,0.75,1.11,5.0%,5.4%,0.3%
2016-10-20 15:39:38,0.34,0.66,1.06,4.5%,5.9%,0.2%
2016-10-20 15:40:41,0.77,0.74,1.06,5.1%,5.8%,0.2%
2016-10-20 15:41:43,1.23,0.84,1.07,5.5%,6.4%,0.3%
2016-10-20 15:42:46,1.22,0.89,1.07,5.1%,5.4%,0.2%
2016-10-20 15:43:49,0.41,0.71,0.99,4.7%,5.7%,0.1%
2016-10-20 15:44:51,0.58,0.72,0.98,4.9%,5.6%,0.2%
2016-10-20 15:45:54,1.57,1.00,1.06,4.6%,5.8%,0.2%
2016-10-20 15:46:57,1.23,1.01,1.06,4.6%,5.0%,0.3%
2016-10-20 15:48:00,1.00,0.99,1.05,4.4%,5.6%,0.3%
2016-10-20 15:49:02,1.47,1.05,1.06,8.1%,6.3%,0.6%
2016-10-20 15:50:05,2.93,1.56,1.23,14.4%,15.2%,4.1%
2016-10-20 15:51:08,1.93,1.56,1.26,5.7%,7.8%,0.6%
2016-10-20 15:52:11,1.16,1.41,1.22,5.6%,6.8%,0.4%
